species,site,colony,population,est_n_breeding_pairs,source_est_n_breeding_pairs
Puffinus assimilis,Mokohinau,Burgess Island,E of Aukland,5050,"Waugh, S. M., Tennyson, A. J. D., Taylor, G. A. & Wilson, K.-J. Population sizes of shearwaters (Puffinus spp.) breeding in New Zealand, with recommendations for monitoring. Tuhinga 24, 159-204 (2019)."
Puffinus lherminieri,Azores,Vila,Azores,1185,"Monteiro, L. R. Status and distribution of Fea's Petrel, Bulwer's Petrel, Manx Shearwater, Little Shearwater and Band-Rumped Storm-Petrel in the Azores Archipelago. Waterbirds 22, 358-366 (1999)."
Puffinus lherminieri,,,Cape Verde,5000,BirdLife International. Puffinus lherminieri. The IUCN Red List of Threatened Species 2018: e.T45959182A132669169. https://dx.doi.org/10.2305/IUCN.UK.2018-2.RLTS.T45959182A132669169.en (2018).
Puffinus lherminieri,,,Madeira,1642,BirdLife International. Puffinus lherminieri. The IUCN Red List of Threatened Species 2018: e.T45959182A132669169. https://dx.doi.org/10.2305/IUCN.UK.2018-2.RLTS.T45959182A132669169.en (2018).
Puffinus puffinus,,,Ireland,32545,"Mitchell, P. I., Newton, S. F., Ratcliffe, N. & Dunn, T. E. (Eds.). Seabird Populations of Britain and Ireland: results of the Seabird 2000 census (1998-2002). Published by T and A.D. Poyser, London (2004)."
Puffinus puffinus,Iceland,Heimaey,Heimaey,5660,"Hansen, E. S., Hansen, B. R., Hilmarsson, J. O. & Sigurðsson, I. A. Change in the stock size of the hull in Ystaklettur, Vestmannaeyjar 1991–2009. Poster Biology Conference, 6-7. Nov 2009, in Askja, University of Iceland. "
Puffinus puffinus,,,UK,299722,"Mitchell, P. I., Newton, S. F., Ratcliffe, N. & Dunn, T. E. (Eds.). Seabird Populations of Britain and Ireland: results of the Seabird 2000 census (1998-2002). Published by T and A.D. Poyser, London (2004)."
Puffinus yelkouan,,,Iles Hyeres,1500,"Bourgeois, K., & Vidal, E. The endemic Mediterranean yelkouan shearwater Puffinus yelkouan: distribution, threats and a plea for more data. Oryx 42, 187–194 (2008)."
Puffinus yelkouan,,,Malta,1500,"Bourgeois, K., & Vidal, E. The endemic Mediterranean yelkouan shearwater Puffinus yelkouan: distribution, threats and a plea for more data. Oryx 42, 187–194 (2008)."
Thalassoica antarctica,Davis,Hop Island,Davis,1000,"van Franeker, J. A., Gavrilo, M., Mehlum, F., Veit, R. R. & Woehler, E. J. Distribution and Abundance of the Antarctic Petrel. The International Journal of Waterbird Biology 22, 14-28 (1999)."
Thalassoica antarctica,Svarthamaren,Svarthamaren,Svarthamaren,250000,"van Franeker, J. A., Gavrilo, M., Mehlum, F., Veit, R. R. & Woehler, E. J. Distribution and Abundance of the Antarctic Petrel. The International Journal of Waterbird Biology 22, 14-28 (1999)."
